sinal_id,pilar,nome,definicao,formula,grupo_comparacao,limiar,limiar_sentido,limiar_origem,severidade,peso,materialidade,persistencia_min_meses,tipo_evidencia,explicacoes_benignas,acao_investigacao,n_grupo_comparacao,n_avaliavel,n_avaliavel_e_material,n_universo,cobertura_universo_pct,n_veiculos_disparo,n_veiculos_disparo_persistente
QA-01,1. Qualidade do ativo,Inadimplência abrangente no topo do mercado,Parcelas vencidas e não pagas (tabs V.B + VI.B) sobre o total de direitos creditórios por prazo (V.A + V.B + VI.A + VI.B) acima do percentil 95 do mercado entre veículos com carteira material.,tx_inad = (TAB_V_B_VL_DIRCRED_INAD + TAB_VI_B_VL_DIRCRED_INAD) / (TAB_V_A_VL_DIRCRED_PRAZO + TAB_V_B_VL_DIRCRED_INAD + TAB_VI_A_VL_DIRCRED_PRAZO + TAB_VI_B_VL_DIRCRED_INAD),Veículos com DC (tab I) >= R$ 50 mi e denominador de inadimplência > 0,0.3593440265166055,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=1533, mediana=0.003347); dispara >=",alta,6,DC (tab I) >= R$ 50 mi,3,derivado,"FIDC-NP e FIDC de crédito judicial compram carteira JÁ vencida: inadimplência alta é o modelo de negócio, não deterioração. Fundos em amortização/liquidação concentram o estoque residual vencido. Consignado com atraso administrativo alto e baixa perda final também aparece aqui.","Cruzar com o segmento da carteira (tab II), a classificação SCR (X.8) e a série de 24 meses do próprio veículo: o que importa é a TENDÊNCIA e a cobertura por provisão, não o nível absoluto.",1533,1533,1533,4327,35.43,77,53
QA-02,1. Qualidade do ativo,Deterioração acelerada da inadimplência em 12 meses,"Variação em pontos percentuais da taxa de inadimplência abrangente contra a mesma competência do ano anterior, acima do p95 das variações.",d_inad_12 = tx_inad(t) - tx_inad(t-12m),Veículos com DC >= R$ 50 mi e tx_inad computável em t e em t-12m,0.1447869132832416,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=1258, mediana=0); dispara >=",alta,6,DC (tab I) >= R$ 50 mi,2,derivado,Fundo que entrou em amortização deixa de comprar crédito novo: o denominador encolhe e a taxa sobe sem que nada tenha piorado no estoque. Mudança de política de write-off também produz salto contábil sem evento econômico.,Verificar se o denominador (DC por prazo) caiu junto — decomposição numerador/denominador separa deterioração real de efeito de base.,1258,1258,1258,4327,29.07,63,35
QA-03,1. Qualidade do ativo,Provisão nula diante de inadimplência material,"Redução ao valor recuperável (I2A11 + I2B11) igual a zero, ou abaixo do p10 do mercado, com estoque inadimplente relevante.",cob_prov = (TAB_I2A11_VL_REDUCAO_RECUP + TAB_I2B11_VL_REDUCAO_RECUP) / (TAB_V_B_VL_DIRCRED_INAD + TAB_VI_B_VL_DIRCRED_INAD),Veículos com estoque inadimplente >= R$ 10 mi,0.0,<=,"p10 da distribuição observada no grupo de comparação em 2026-06-30 (n=658, mediana=0.7516); dispara <=",alta,6,inadimplência >= R$ 10 mi,3,derivado,Crédito com coobrigação plena do cedente ou seguro de crédito não exige provisão no fundo. Carteira sem aquisição substancial de risco (tab I.2.B) tem a perda retida no cedente. Recompra automática contratual no atraso também dispensa provisão.,"Ler o regulamento quanto a coobrigação/recompra e cruzar com a tab VII.D (recompras efetivas): se o cedente não recompra de fato, a ausência de provisão não se sustenta.",658,658,658,4327,15.21,77,46
QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,"Carteira grande, cedente único dominante e ZERO parcela vencida reportada — o padrão de lastro 'bom demais' observado nos casos públicos de fraude de recebíveis antes do colapso.",inad = 0 AND dc_tabI >= p90(mercado) AND pr_max >= 50,Veículos com DC >= p90 do mercado e cedente declarado válido,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,3,derivado,Carteira de consignado público/INSS ou de recebíveis de utilities com desconto em folha tem inadimplência estruturalmente próxima de zero. Fundo recém-constituído ainda não tem safra vencida. Recompra automática do cedente no primeiro dia de atraso zera o estoque vencido por desenho contratual — e é lícita.,"Testar lastro: pedir a conciliação de recebíveis do custodiante, verificar registro em registradora autorizada (Res. BCB 5.021) e conferir se a tab VII.D mostra recompras compatíveis com o 'zero'.",62,1646,62,4327,38.04,26,22
QA-05,1. Qualidade do ativo,Inadimplência integralmente envelhecida (> 360 dias),"Fração do estoque inadimplente nas faixas B7 a B10 (acima de 360 dias) no p90 ou acima — crédito parado, com recuperação improvável.",aging = (V_B7+V_B8+V_B9+V_B10 + VI_B7+VI_B8+VI_B9+VI_B10) / (V_B + VI_B),Veículos com estoque inadimplente >= R$ 10 mi,1.0,>=,"p90 da distribuição observada no grupo de comparação em 2026-06-30 (n=658, mediana=0.3284); dispara >=",média,3,inadimplência >= R$ 10 mi,3,derivado,FIDC de crédito judicial e de precatórios opera por natureza com ativos de maturação plurianual: 100% do estoque acima de 360 dias é o esperado. Fundo em liquidação carrega apenas o resíduo antigo.,Confrontar com a provisão (QA-03): estoque velho e provisão baixa é a combinação relevante; estoque velho já provisionado é apenas resíduo.,658,658,658,4327,15.21,94,66
QA-06,1. Qualidade do ativo,Direitos creditórios performados não informados,"Campo de créditos performados (I.2.A.4) não preenchido, impedindo separar risco de performance (obrigação do cedente ainda por cumprir) de risco de crédito puro.",perf_share = TAB_I2A4_VL_CRED_DIRCRED_PERFM / TAB_I2A_VL_DIRCRED_RISCO,Veículos com DC com aquisição de risco > 0,,<=,grupo insuficiente (n=0) para percentilar,baixa,1,DC com risco >= R$ 50 mi,1,observado,"O campo foi efetivamente descontinuado no layout pós-RCVM 175 — cobertura ~0% desde 2023. A não informação é falha de layout, não conduta do administrador.",Nenhuma ação sobre o veículo: registrar como LACUNA DE INFORMAÇÃO estrutural do informe mensal e endereçá-la ao regulador.,0,0,0,4327,0.0,0,0
ES-01,2. Estrutura e subordinação,Subordinação no fundo da distribuição do mercado,Colchão de subordinação (séries subordinadas + mezanino sobre o total das séries) abaixo do p5 do mercado entre estruturas que de fato têm sênior e subordinada.,"subord = SUM(VL_SERIE onde TIPO_COTA in ('subordinada','mezanino')) / SUM(VL_SERIE)",Veículos com série sênior > 0 E série subordinada/mezanino > 0,0.0330676045540233,<=,"p5 da distribuição observada no grupo de comparação em 2026-06-30 (n=1010, mediana=0.3383); dispara <=",alta,6,PL >= R$ 50 mi,3,derivado,"Carteira de risco muito baixo (consignado público, crédito com garantia real líquida) suporta subordinação fina por desenho, validado por agência de rating. Estruturas com seguro de crédito ou carta de fiança bancária substituem colchão por garantia externa.",Comparar a subordinação com a inadimplência esperada da própria carteira (ES-03) e com o rating da série sênior; verificar gatilhos de recomposição no regulamento.,1010,1546,1010,4327,35.73,51,42
ES-02,2. Estrutura e subordinação,Erosão da subordinação em 12 meses,"Queda em pontos percentuais do índice de subordinação contra a mesma competência do ano anterior, no p5 inferior das variações.",d_subord_12 = subord(t) - subord(t-12m),Veículos com sênior e subordinada em t e em t-12m,-0.3101807319214098,<=,"p5 da distribuição observada no grupo de comparação em 2026-06-30 (n=809, mediana=9.605e-05); dispara <=",alta,6,PL >= R$ 50 mi,2,derivado,"Emissão programada de nova série sênior dilui o percentual subordinado sem consumo de colchão — é crescimento, não perda. Amortização de subordinada prevista em cronograma também reduz o índice de forma planejada.",Separar o efeito 'numerador' (subordinada encolheu: consumo de perda) do 'denominador' (sênior cresceu: alavancagem da estrutura) usando a tab X.2 em nível de série.,809,1151,809,4327,26.6,41,25
ES-03,2. Estrutura e subordinação,Colchão subordinado menor que a inadimplência líquida de provisão,"Valor das séries subordinadas e mezanino inferior ao estoque de parcelas vencidas JÁ DEDUZIDA a provisão constituída: se a perda residual se materializar, a série sênior é atingida.",v_sub < (V_B + VI_B) - (I2A11 + I2B11),Veículos com série sênior > 0 e inadimplência líquida >= R$ 10 mi,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,crítica,10,inadimplência líquida de provisão >= R$ 10 mi e sênior emitida,2,derivado,"Nem todo estoque vencido vira perda: taxas de recuperação de 60-90% são comuns em duplicatas e consignado, e o sinal compara estoque bruto de recuperação com colchão — é conservador por construção. Coobrigação do cedente devolve a perda ao originador. A base de disparo é alta (perto de um terço do grupo), o que reforça que o sinal só tem valor combinado a QA-01/QA-03.","Refazer o teste com a taxa de recuperação histórica da própria carteira e com a coobrigação contratada; se ainda assim o colchão não cobre, é caso de exame do enquadramento da sênior.",214,214,214,4327,4.95,74,53
ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,PL reportado na tab IV menor ou igual a zero — o veículo consumiu todo o capital dos cotistas.,VL_PL <= 0,Todos os veículos do painel canônico,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,crítica,10,sem porte mínimo — PL negativo é relevante em qualquer escala,1,observado,Fundo encerrado que já distribuiu todo o patrimônio reporta PL zero na competência de fechamento. Veículo em fase pré-operacional ainda não integralizado também aparece com PL nulo.,Checar a situação cadastral (registro CVM) e a tab X.4: PL zero com resgate integral no mês é encerramento; PL negativo com carteira viva é insolvência.,4327,4327,4327,4327,100.0,189,189
